InChIkey,Solvent,MW,SASA,G_sol,DeltaG_sol,Volume,sol_dip,LsoluHsolv,LsolvHsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,LogS
DCOPUUMXTXDBNB-GPQMBLKYNA-N,"1,2-propanediol",296.152,281.498,-29457.484,-875.2473999999966,545.932,2.13692,9.79,11.147,-1.11013,-0.6020599999999999,-0.6131,0.68969,-1.66469,-1.187926786
BGRJTUBHPOOWDU-QDYITYEQNA-N,water,341.424,354.213,-34418.232,-239.7694285714242,393.493,12.9655,11.002,12.907,-3.04815,-1.78928,-0.99744,2.57439,-2.19954,-2.7500001
WZWYJBNHTWCXIM-ZTGFOJEANA-N,chloroform,337.368,299.799,-31354.212,-572.5346666666665,343.187,5.73948,9.371,8.392,-2.97116,-0.7803500000000001,-0.97158,2.52517,-1.49182,-1.264302549
ILUJQPXNXACGAN-BGGKNDAXNA-N,chloroform,152.149,178.71,-24884.086,-2000.413783783788,343.187,5.73948,10.62,8.812,-1.44397,-0.0779799999999999,-0.5834,0.68905,-1.44397,0.301411243
VLYWMPOKSSWJAL-YAQRNVERNA-N,"1,2-propanediol",280.301,270.912,-29070.428,207.8565833333414,343.187,5.73948,9.078,11.451,-2.26687,-1.00323,-0.96951,2.54877,-1.4654299999999998,-1.153955371
POULHZVOKOAJMA-NDKGDYFDNA-N,ethanol,200.32,281.387,-29898.88,-917.180000000004,343.187,5.73948,10.718,13.706,-1.11256,-2.5109,-0.62501,0.66928,-1.11256,0.396721562
VFVHWCKUHAEDMY-UHFFFAOYNA-N,toluene,185.566,187.804,-22875.708,-1080.6517142857156,343.187,5.73948,7.283999999999999,11.212,-1.44715,-0.06571,-0.48857,0.84458,-0.65166,0.247273201
YLQWCDOCJODRMT-UHFFFAOYNA-N,heptane,180.206,204.757,-22232.83,-415.54627906976384,212.593,4.20017,9.643,13.426,-0.49039,-0.79785,-0.49039,0.56657,-0.49039,-0.958607315
HYYBABOKPJLUIN-HCKMINDGNA-N,ethanol,241.289,270.379,-29072.804,-574.674799999997,212.593,4.20017,9.717,11.89,-1.1185,-1.33109,-0.6176,0.69081,-1.53188,-1.465662161
JDCMOHAFGDQQJX-UHFFFAOYNA-N,"cis-1,2-dimethylcyclohexane",272.097,214.933,-25504.27,134.45219999999972,228.343,0.00112027,8.353,13.881,0.0,0.6139,-0.08279,0.11865,-0.6139,-0.32198645
AVPYQKSLYISFPO-UHFFFAOYNA-N,thf,140.569,162.257,-20922.014,-1320.5204000000012,157.73100000000002,3.34541,8.434999999999999,12.378,-0.56198,-0.19768,-0.56198,0.44821,-0.6560900000000001,0.722845683
VPHHJAOJUJHJKD-KZFATGLANA-N,2-isopropoxyethanol,191.013,187.61,-23490.414,-1842.7409696969623,157.73100000000002,3.34541,8.563,11.843,-1.06393,0.23495,-0.58794,0.66307,-1.17316,-0.379451512
JYGXADMDTFJGBT-VWUMJDOONA-N,"1,2-propanediol",362.465,344.26,-36452.934,-548.6253999999972,157.73100000000002,3.34541,9.881,12.551,-2.88855,-2.59079,-0.64723,0.64412,-2.88855,-1.352609242
ROAXLGSFGIOFMH-UHFFFAOYNA-N,2-propanol,296.343,308.743,-29256.094,-443.1683333333276,330.292,0.604732,9.586,12.580000000000002,-0.5469200000000001,-0.97452,-0.39375,0.33346,-1.33007,-0.892795612
