InChIkey,Solvent,MW,SASA,G_sol,DeltaG_sol,Volume,sol_dip,LsoluHsolv,LsolvHsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,LogS
GVEPBJHOBDJJJI-UHFFFAOYNA-N,chloroform,202.255,227.244,-23009.264,-445.3442040816226,243.071,0.325051,9.985,8.058,0.0,-1.6107,-0.15618,0.1641,0.0,0.188928484
GVIJJXMXTUZIOD-UHFFFAOYNA-N,"1,4-dioxane",216.315,223.495,-23380.074,-381.4363157894732,239.592,1.7121,9.121,10.254,0.0,-1.27891,-0.13958,0.16914,-0.03833,-0.568636236
WBYWAXJHAXSJNI-KZFATGLANA-N,acetone,148.161,181.325,-22781.903999999995,-522.3683749999982,182.608,2.46901,9.49,10.372,-1.10051,-0.44112,-0.60299,0.68712,-1.10051,0.142504043
RYYVLZVUVIJVGH-UHFFFAOYNA-N,acetone,194.193,206.937,-25366.032,-1423.869666666662,182.608,2.46901,9.528,10.043,-1.2109,0.3262099999999999,-0.60868,0.69004,-2.22267,-1.217589965
GPSDUZXPYCFOSQ-BGGKNDAXNA-N,2-methyl-1-butanol,136.15,170.266,-21996.234,-802.6490857142817,182.608,2.46901,9.327,12.699,-1.0889,-0.48849,-0.60654,0.65746,-1.0889,0.124916121
WLJVXDMOQOGPHL-BGGKNDAXNA-N,cyclohexane,136.15,171.504,-22189.098,-1150.044222222219,168.94799999999998,2.09044,10.665,13.861,-1.04464,-0.47803,-0.54535,0.65025,-1.04464,-0.634946197
BLUAFEHZUWYNDE-NNWCWBAJNA-N,ethanol,282.336,272.207,-30238.86800000001,-1347.554363636369,168.94799999999998,2.09044,9.248,13.081,-2.03828,-1.6427899999999998,-0.56753,0.6852,-2.03828,-1.10017137
GPSDUZXPYCFOSQ-BGGKNDAXNA-N,2-butoxyethanol,136.15,169.888,-21884.034,-690.4490857142846,164.91400000000002,3.35144,9.196,11.637,-1.08502,-0.48961,-0.60211,0.65557,-1.08502,0.226495532
YNPNZTXNASCQKK-UHFFFAOYNA-N,4-methyl-2-pentanol,178.233,209.472,-22908.804,-527.2241666666632,164.91400000000002,3.35144,9.488,11.665,0.0,-1.62612,-0.17457,0.16674,0.0,-0.85790757
BBEAQIROQSPTKN-UHFFFAOYNA-N,butyronitrile,202.255,222.477,-22119.774,-11.665014925369178,242.492,0.00167399,10.621,9.614,0.0,-1.66677,-0.17863,0.16823,0.0,-0.314513086
QELSKZZBTMNZEB-UHFFFAOYNA-N,peg400,180.203,216.993,-25806.962,-928.6745454545415,222.301,1.60108,9.063,10.883,-1.51208,-0.6382399999999999,-0.61562,0.68691,-1.51208,0.118
WLJVXDMOQOGPHL-BGGKNDAXNA-N,octane,136.15,171.103,-21455.368,-416.31422222221954,169.38,2.14622,10.912,13.839,-1.04254,-0.4848399999999999,-0.55777,0.6542,-1.04254,-1.045501791
IQPNAANSBPBGFQ-UHFFFAOYNA-N,dmso,286.24,283.106,-29263.286,258.21624999999403,169.38,2.14622,7.167999999999999,10.544,-2.80355,0.1170799999999999,-0.62341,0.69138,-2.80355,-0.171553365
ILUJQPXNXACGAN-BGGKNDAXNA-N,1-decanol,152.149,179.052,-24432.94,-1549.2677837837873,177.12,5.30308,9.702,12.45,-1.46187,-0.0770199999999999,-0.6106,0.69985,-1.46187,-0.657577319
JZFPYUNJRRFVQU-VEWCPZSHNA-N,chloroform,282.222,276.198,-29255.088,-1117.9966315789425,177.12,5.30308,10.118,8.339,-1.07652,0.57296,-0.60141,0.69616,-2.49862,-1.795880017
LNEPOXFFQSENCJ-UHFFFAOYNA-N,2-propanol,375.87,394.84,-35952.402,-710.4702222222259,177.12,5.30308,9.621,11.707999999999998,-1.22868,-2.05067,-0.63641,0.60906,-1.86935,-0.770025433
CWRYPZZKDGJXCA-UHFFFAOYNA-N,3-methyl-1-butanol,154.211,187.008,-20960.876,401.05280000000494,192.402,1.64344,9.543,11.557,0.0,-1.64679,-0.29924,0.17053,0.0,-0.668878374
ZIMGGGWCDYVHOY-UHFFFAOYNA-N,methanol,209.25,234.797,-26186.164000000004,-883.8377142857171,246.881,8.380030000000001,9.684,11.875,-0.36053,-0.2553499999999999,-0.71352,0.48749,-2.65557,-0.625745087
XMTQQYYKAHVGBJ-XWKXFZRBNA-N,1-hexanol,233.097,243.115,-27067.072,-2082.38048,246.881,8.380030000000001,9.714,12.0,-0.66172,-0.26148,-0.66172,0.68199,-1.6335,-0.940079895
MKASXAGBWHIGCF-UHFFFAOYNA-N,methanol,199.252,241.138,-25697.770000000004,-976.3848000000072,246.881,8.380030000000001,10.256,11.241,-0.39769,-1.48265,-0.53124,0.42962,-0.84988,-0.288607176
OFJWFSNDPCAWDK-WXRBYKJCNA-N,ethanol,164.204,202.967,-24314.94,-434.3760000000002,246.881,8.380030000000001,10.408,12.707,-1.09883,-1.04815,-0.60564,0.65084,-1.09883,0.792391689
GVIJJXMXTUZIOD-UHFFFAOYNA-N,2-methyl-1-propanol,216.315,223.654,-23791.148,-792.51031578947,239.648,2.13694,9.58,11.682,0.0,-1.29363,-0.14247,0.17697,-0.0935,-1.793092937
HOKCUULFCASAQT-OLAIDOCJNA-N,methanol,472.669,499.368,-45293.844,-404.20433333332767,239.648,2.13694,9.326,11.686,-1.3157100000000002,-4.33971,-0.68054,0.65244,-2.1963,-1.522878745
RJKGJBPXVHTNJL-UHFFFAOYNA-N,1-heptanol,173.171,192.125,-22418.890000000003,-268.374878048784,197.458,6.9835,8.719,12.135,-1.00877,-1.06332,-0.50611,0.85653,-0.1522399999999999,-0.418281625
ILUJQPXNXACGAN-BGGKNDAXNA-N,2-butoxyethanol,152.149,179.326,-24221.136,-1337.4637837837872,177.27599999999998,5.34036,9.366,11.35,-1.46523,-0.0774599999999999,-0.61288,0.70099,-1.46523,-0.001883473
GJCOSYZMQJWQCA-UHFFFAOYNA-N,1-propanol,182.221,210.426,-22706.724,-698.3435121951261,218.228,2.18534,10.096,11.673000000000002,-0.36798,-1.33834,-0.36798,0.2493,-0.36798,-0.823908741
SZTDSGCADFWGKM-UHFFFAOYNA-N,1-butanol,224.236,261.893,-29354.974,4303.932666666675,218.228,2.18534,12.781,13.416999999999998,-2.81047,-2.65926,-1.01586,1.49271,-1.31776,-0.824161252
DWCLXOREGBLXTD-UHFFFAOYNA-N,methanol,176.172,186.219,-23209.898,1132.7432857142849,218.228,2.18534,9.053,14.132,-1.9356,-1.9089,-0.52651,0.75546,-0.42513,-2.066732395
LXCFILQKKLGQFO-UHFFFAOYNA-N,n-methylformamide,152.149,181.48,-22907.01,-1309.1702222222266,218.228,2.18534,9.222,10.807,-1.48903,-0.09568,-0.60788,0.68096,-1.48903,0.545324797
SEEPANYCNGTZFQ-YHMJCDSINA-N,"1,4-dioxane",250.275,249.088,-26698.794,922.1476470588276,268.17600000000004,6.25645,9.006,10.839,-1.90137,-0.54271,-0.95314,2.51708,-1.48638,-2.250366933
YNPNZTXNASCQKK-UHFFFAOYNA-N,methylcyclohexane,178.233,209.472,-23154.256,-772.676166666668,268.17600000000004,6.25645,9.838,12.87,0.0,-1.54421,-0.16868,0.15803,0.0,-0.446084011
WBYWAXJHAXSJNI-KZFATGLANA-N,1-pentanol,148.161,186.516,-22796.506,-536.9703750000044,268.17600000000004,6.25645,9.336,12.567,-1.10856,-0.4470799999999999,-0.62457,0.6831,-1.10856,-0.208028799
DWMREKMVXIFPFM-RWWBHRBBNA-N,"1,4-dioxane",351.394,322.065,-33351.388000000006,-1318.3500833333385,268.17600000000004,6.25645,8.209,10.301,-2.88346,-0.90153,-0.94411,2.46315,-1.68593,-1.693764173
FAKRSMQSSFJEIM-ABFVFRESNA-N,acetonitrile,217.282,235.195,-29038.846,-1166.3323333333392,262.377,6.18277,12.805,10.87,-1.73805,-0.36709,-0.66525,0.61273,-2.46188,-0.259990084
QIQXTHQIDYTFRH-LILDFLRNNA-N,o-xylene,284.481,396.557,-37282.306,-136.02087500000198,421.596,2.3662,9.469,11.418,-1.07125,-4.10472,-0.58035,0.65341,-1.07125,-1.292429824
BSYNRYMUTXBXSQ-WXRBYKJCNA-N,methanol,180.16,197.842,-25086.846,-912.5641500000056,205.036,3.14909,9.343,13.057,-2.08272,0.3310299999999999,-0.60041,0.71942,-2.08272,0.149631586
LDHQCZJRKDOVOX-GSMIJIFMNA-N,thf,86.0902,125.381,-19373.28,-320.8689999999988,108.952,4.73972,9.092,13.219,-1.12163,-0.16308,-0.63193,0.69349,-1.12163,0.907948522
SWJPEBQEEAHIGZ-UHFFFAOYNA-N,2-methyl-1-propanol,235.906,168.859,-20969.46,-1950.0271764705903,108.952,4.73972,9.652,12.685,0.0,-0.55107,-0.13931,0.18534,-0.18989,-0.442840673
GVEPBJHOBDJJJI-UHFFFAOYNA-N,methanol,202.255,227.244,-23064.454,-500.53420408162856,108.952,4.73972,9.075,11.591,0.0,-1.65571,-0.15727,0.16843,0.0,-1.186419011
AFPHTEQTJZKQAQ-BGGKNDAXNA-N,1-butanol,167.121,179.6,-23035.16,-1218.2922222222187,176.298,3.95583,8.543,13.701999999999998,-2.09087,0.1050999999999999,-0.59263,0.86385,-1.22702,0.185748038
DFXQXFGFOLXAPO-KZFATGLANA-N,1-pentanol,201.566,197.311,-24564.672,-1297.790647058824,201.524,3.77887,8.673,13.427,-2.01128,0.2129299999999999,-0.58326,0.86333,-1.17549,-0.568636236
BBEAQIROQSPTKN-UHFFFAOYNA-N,decane,202.255,222.477,-22095.14,12.968985074629018,242.497,0.000478244,9.453,12.279,0.0,-1.57041,-0.17523,0.15845,0.0,-1.003838707
BOCJQSFSGAZAPQ-UHFFFAOYNA-N,decane,242.661,236.9,-25836.858,-665.3886530612253,256.833,1.4332600000000002,8.826,14.15,-0.97693,-0.1911299999999999,-0.49593,0.53988,-1.02552,-2.462366873
LDCRTTXIJACKKU-ONEGZZNKNA-N,1-propanol,144.127,180.306,-25689.456,-2239.703333333342,256.833,1.4332600000000002,8.826,14.364,-1.91033,0.46152,-0.57964,0.6512,-1.91033,-1.180456064
ASWVTGNCAZCNNR-WYUMXYHSNA-N,water,278.328,283.707,-29279.387999999995,-139.01350000000093,256.833,1.4332600000000002,11.172,13.067,-1.98371,-1.21198,-0.99363,2.5682,-1.73639,-2.534125006
QFOHBWFCKVYLES-UHFFFAOYNA-N,1-octanol,194.23,240.121,-27377.173999999995,-1307.6790769230756,256.833,1.4332600000000002,9.667,12.584,-1.5145,-0.91708,-0.60596,0.6866,-1.5145,0.363935635
WPYMKLBDIGXBTP-FZOZFQFYNA-N,1-heptanol,122.123,151.225,-20768.85,-1037.850650000004,256.833,1.4332600000000002,9.502,12.934,-1.09081,-0.10993,-0.6069,0.66287,-1.09081,0.161966616
GVIJJXMXTUZIOD-UHFFFAOYNA-N,1-heptanol,216.315,223.654,-23744.428,-745.7903157894725,239.667,2.08901,9.701,11.496,0.0,-1.2924,-0.14214,0.17618,-0.08742,-1.451918887
YVUQSNJEYSNKRX-VJSLDGLSNA-N,hexane,461.553,472.254,-39293.796,-233.7931249999965,239.667,2.08901,10.699,13.137,-0.57369,-2.51066,-0.57369,0.63325,-2.02675,-4.235879186
YRHRIQCWCFGUEQ-UHFFFAOYNA-N,octane,212.266,221.762,-24063.072,-869.9811785714264,236.332,2.65075,9.816,12.978000000000002,-0.53866,-0.8025100000000001,-0.53866,0.56473,-0.5336000000000001,-2.479179774
CIWBSHSKHKDKBQ-JLAZNSOCNA-N,toluene,176.126,180.498,-24465.056000000004,-534.012500000008,236.332,2.65075,8.161,10.37,-2.7864,0.72858,-0.55243,0.62052,-2.7864,-0.7739211268404256
CWRYPZZKDGJXCA-UHFFFAOYNA-N,n-methylformamide,154.211,187.008,-20954.44,407.4888000000028,236.332,2.65075,9.316,9.594,0.0,-1.64336,-0.29895,0.17014,0.0,-0.673081649
BLFLLBZGZJTVJG-UHFFFAOYNA-N,cyclohexane,165.191,204.778,-25746.088000000003,-1607.494571428575,202.999,3.79675,10.19,13.23,-1.00512,-0.47168,-0.57181,0.66849,-1.49465,-2.008773924
ACWBQPMHZXGDFX-XGLYSIDGNA-N,chloroform,435.525,446.207,-41792.2,-1033.542800000003,202.999,3.79675,10.551,8.86,-1.68816,-2.32011,-0.62564,0.63507,-2.63228,-1.299544115
UMGDCJDMYOKAJW-UBUOBULFNA-N,dmso,76.116,104.667,-17113.2,65.07040000000052,89.3192,7.427669999999999,8.35,10.584,0.0,0.50678,-0.79342,0.50678,-1.69762,0.61410956
HYZJCKYKOHLVJF-FZOZFQFYNA-N,toluene,118.138,147.573,-19823.366,-349.8348888888904,89.3192,7.427669999999999,8.908999999999999,9.61,0.0,-0.5212600000000001,-0.36365,0.28823,-0.60688,-2.045757491
DFYRUELUNQRZTB-UHFFFAOYNA-N,toluene,166.176,197.098,-25041.758,-1098.599000000002,198.389,6.073690000000001,8.455,9.582,-1.3835,-0.5574899999999999,-0.63086,0.60793,-1.3835,-1.229147988
HEWGVSGLMQJYHJ-UHFFFAOYNA-N,cyclohexanone,288.048,229.267,-26281.232000000004,320.9156666666604,198.389,6.073690000000001,7.907,10.708,-0.99258,0.7696,-0.49641,0.61901,-1.67196,-0.768549925
ZUOUZKKEUPVFJK-UHFFFAOYNA-N,nonane,154.211,198.05,-21527.392000000003,-708.7628148148178,201.225,0.000487937,10.641,13.219,0.0,-1.52858,-0.17188,0.1565,0.0,-0.048754402
JWAZRIHNYRIHIV-UHFFFAOYNA-N,water,144.173,175.562,-21181.052,-258.19646153846406,201.225,0.000487937,10.829,12.793,-0.50227,-1.0591,-0.50227,0.35925,-0.50227,-2.274499977
WJFKNYWRSNBZNX-UHFFFAOYNA-N,"1,4-dioxane",199.27,217.26,-24375.466,-1128.8460000000014,201.225,0.000487937,9.322,9.636,0.0,-1.17411,-0.39627,0.28107,-0.39552,-0.939427972
JCLYNMPVVXQIJI-UHFFFAOYNA-N,ethanol,258.233,269.912,-29405.366,-1366.8486666666613,201.225,0.000487937,8.569,12.243,-1.93011,-0.70186,-0.57823,0.84856,-1.2560600000000002,-0.823908741
OTLNPYWUJOZPPA-BGGKNDAXNA-N,3-methoxy-1-butanol,167.121,179.815,-23346.168,-1470.6097297297238,176.952,4.45788,7.629,13.051,-2.04146,0.0648,-0.57559,0.84046,-1.201,-0.644908116
BXAOUWIVXLQYOZ-SPEPDGBUNA-N,thf,443.542,440.574,-44768.594,-183.227866666668,176.952,4.45788,9.158,11.651,-2.59918,-2.19002,-0.63403,0.73441,-3.89715,-0.588380294
QQVIHTHCMHWDBS-FLKJISBTNA-N,1-propanol,166.133,182.649,-24776.78,-2097.011846153848,176.952,4.45788,9.116,13.388000000000002,-2.16708,0.71899,-0.60432,0.67444,-2.16708,-1.29715095
AIONOLUJZLIMTK-AWEZNQCLNA-N,acetonitrile,302.283,304.968,-31111.957999999995,-1194.6725714285567,176.952,4.45788,11.955,10.422,-2.81402,-0.37099,-0.64269,0.68493,-2.81402,-1.298511559
BXRFQSNOROATLV-UHFFFAOYNA-N,dichloromethane,151.121,171.355,-21924.136,662.4069999999992,166.99800000000002,4.51599,8.859,10.74,-1.52563,-0.21084,-0.52537,0.84032,-0.68531,0.10455179
WPYMKLBDIGXBTP-FZOZFQFYNA-N,decane,122.123,151.225,-20454.234,-723.2346500000021,144.06900000000002,2.85549,10.016,14.309,-1.04327,-0.1145299999999999,-0.55998,0.63942,-1.04327,-1.096910013
MTSJLRXXXJHLDI-VEORKLDJNA-N,methanol,501.578,488.448,-46170.35799999999,-789.265999999996,144.06900000000002,2.85549,9.873,11.864,-3.39113,-1.905,-0.64654,0.73365,-4.67478,-1.053952699
VYWYYJYRVSBHJQ-KZFATGLANA-N,2-ethoxyethanol,212.118,207.701,-25331.596,-1425.8352592592564,208.894,4.36203,7.507999999999999,13.727,-3.0021500000000003,0.27577,-0.57259,0.8723,-1.25828,0.125092369
SATCULPHIDQDRE-UHFFFAOYNA-N,ethanol,150.134,168.377,-22429.984,-1937.1005454545448,164.798,4.80995,9.389,12.124,-1.29669,0.26563,-0.57025,0.45282,-1.29669,0.698100546
DMIYKWPEFRFTPY-UHFFFAOYNA-N,thf,175.014,175.748,-22142.488,-1125.4710000000014,164.798,4.80995,8.331,12.293,-0.53267,-0.0251,-0.53267,0.46391,-0.67992,0.394451681
UFWIBTONFRDIAS-UHFFFAOYNA-N,toluene,128.173,165.632,-19425.004,171.77903030303423,164.798,4.80995,8.574,9.18,0.0,-1.23583,-0.17028,0.15648,0.0,0.420810778
MTSJLRXXXJHLDI-VEORKLDJNA-N,dmso,501.578,478.026,-47134.384000000005,-1753.2920000000086,164.798,4.80995,7.842,10.02,-3.38384,-1.87521,-0.63555,0.73228,-4.68827,-0.552841969
MKASXAGBWHIGCF-UHFFFAOYNA-N,acetone,199.252,241.072,-25773.962,-1052.5768000000023,164.798,4.80995,9.997,9.078,-0.39636,-1.47842,-0.53078,0.42961,-0.8484,0.442400399
ILUJQPXNXACGAN-BGGKNDAXNA-N,1-propanol,152.149,178.965,-23810.348,-926.6757837837868,177.552,4.51629,9.561,12.353000000000002,-1.48303,-0.07367,-0.61019,0.70098,-1.48303,-0.119186408
ZFXYFBGIUFBOJW-FZOZFQFYNA-N,"1,4-dioxane",180.166,189.711,-23782.686,-1015.2498461538488,177.552,4.51629,8.957,11.228,-1.11877,0.68377,-0.56106,0.66762,-2.25842,-1.533050746
JWAZRIHNYRIHIV-UHFFFAOYNA-N,acetone,144.173,175.366,-21182.898,-260.0424615384618,177.552,4.51629,9.308,9.44,-0.49965,-1.05331,-0.49965,0.35718,-0.49965,0.680002073
DCOPUUMXTXDBNB-GPQMBLKYNA-N,acetone,296.152,281.498,-29445.68800000001,-863.4514000000054,177.552,4.51629,9.627,9.526,-1.10719,-0.60143,-0.61017,0.68836,-1.66012,-0.270740361
DFXQXFGFOLXAPO-KZFATGLANA-N,1-hexanol,201.566,197.197,-24645.152,-1378.2706470588273,177.552,4.51629,8.668,13.508,-2.00853,0.21223,-0.58237,0.8623,-1.1735,-0.568636236
MQUYUNNOHCHJQM-UHFFFAOYNA-N,methanol,234.553,205.186,-23733.044,-517.4914999999964,177.552,4.51629,8.53,13.011,-2.8208,0.05085,-0.51683,0.90761,-0.99622,-1.432697033
YASYVMFAVPKPKE-JSWHHWTPNA-N,dichloromethane,183.162,197.881,-25694.924,-679.4028000000035,177.552,4.51629,10.275,10.2,-2.10775,-0.52809,-0.906,1.65859,-1.51064,0.39846085
QUEKGYQTRJVEQC-KZFATGLANA-N,2-pentanol,201.566,196.512,-24532.012,-1024.1306086956538,177.552,4.51629,8.456999999999999,13.503,-2.04311,0.24757,-0.57347,0.8662,-1.21548,-0.119186408
ZEYHEAKUIGZSGI-BGGKNDAXNA-N,2-propanol,152.149,180.412,-23366.656,-1880.134068965516,178.147,5.44824,9.776,12.649,-1.48698,-0.0964,-0.62227,0.68433,-1.48698,-0.853871964
DKYWVDODHFEZIM-GPQMBLKYNA-N,1-heptanol,254.285,285.63,-29519.042,-689.1302222222075,311.268,6.07374,9.297,12.824,-1.66002,-0.90274,-0.61021,0.63874,-1.66002,-0.33628744
WHUUTDBJXJRKMK-IQTGVIGANA-N,acetone,147.13,170.705,-23874.618,-779.533199999998,311.268,6.07374,10.282,10.934,-2.1826600000000003,0.6028,-0.60857,0.6655,-2.74104,-2.446987526
HEFNNWSXXWATRW-RILOQBQWNA-N,1-butanol,206.284,253.932,-29160.956,-2438.003199999996,277.86499999999995,2.9620999999999995,10.34,12.312,-1.09928,-1.96427,-0.6057,0.64287,-1.09928,0.269142886
ALYNCZNDIQEVRV-BGGKNDAXNA-N,ethanol,137.138,166.019,-21684.836,-783.9002758620663,277.86499999999995,2.9620999999999995,9.853000000000002,12.071,-1.12302,0.0229799999999999,-0.63132,0.68538,-1.62071,-0.043145154
OTLNPYWUJOZPPA-BGGKNDAXNA-N,1-octanol,167.121,179.677,-23321.532,-1445.9737297297252,277.86499999999995,2.9620999999999995,8.299,13.502,-2.04262,0.06493,-0.57606,0.84111,-1.20151,-1.215424375
MWOOGOJBHIARFG-UHFFFAOYNA-N,methanol,152.149,179.729,-23019.616,-923.3046000000032,277.86499999999995,2.9620999999999995,9.444,11.999,-1.43832,-0.0974099999999999,-0.57706,0.45149,-1.43832,0.551304836
FFGPTBGBLSHEPO-ZHLVXTBQNA-N,1-butanol,236.273,250.417,-26790.73,-935.5749999999936,277.86499999999995,2.9620999999999995,9.626,11.799,-0.67167,-0.67055,-0.67167,0.69382,-1.61046,-1.176979152
LNEPOXFFQSENCJ-UHFFFAOYNA-N,benzene,375.87,393.178,-36157.356,-915.4242222222238,277.86499999999995,2.9620999999999995,8.781,8.978,-1.1322100000000002,-2.06173,-0.59921,0.5796,-1.74428,-0.892577321
CDVNZMKTJIBBBV-WXRBYKJCNA-N,2-methyl-2-propanol,226.145,221.793,-26323.874000000003,-1241.029333333332,230.816,5.7749,8.424,14.316,-2.98287,-0.1678299999999999,-0.57376,0.87677,-1.23426,-0.808877712
ZYVHVGJGLOEEKD-FQFUPTBWNA-N,toluene,286.243,296.542,-30777.268000000004,-1081.589,311.673,4.43134,7.287999999999999,10.665,-2.63331,0.2227,-0.57377,0.64576,-2.39529,-0.7739211268404256
XSQUKJJJFZCRTK-UBUOBULFNA-N,acetonitrile,60.0554,88.9308,-17135.872000000003,-999.6575000000012,311.673,4.43134,13.478,12.142,-0.71428,0.66513,-0.71428,0.66513,-1.8291,-1.171383748
NIHNNTQXNPWCJQ-UHFFFAOYNA-N,water,166.222,200.685,-21498.232,-96.10099999999512,311.673,4.43134,11.226,12.943,0.0,-1.67592,-0.32685,0.18564,0.0,-4.969999855
QECIGCMPORCORE-UHFFFAOYNA-N,hexane,206.243,229.614,-24727.894000000004,-831.0588000000062,244.669,4.32165,9.606,13.3,-0.49945,-1.03303,-0.49945,0.41305,-0.49945,-1.15490196
AFPHTEQTJZKQAQ-BGGKNDAXNA-N,water,167.121,179.627,-23491.764,-1674.8962222222217,175.848,7.907349999999999,9.986,14.754,-2.10676,0.1120199999999999,-0.60289,0.8677,-1.23906,-1.746500009
JDCMOHAFGDQQJX-UHFFFAOYNA-N,cyclohexane,272.097,214.933,-25503.872,134.85020000000077,175.848,7.907349999999999,8.440999999999999,13.986,0.0,0.61394,-0.0828,0.11863,-0.61397,-0.390245065
CKAPSXZOOQJIBF-UHFFFAOYNA-N,1-hexanol,284.784,220.81,-23574.502,1949.4958571428576,175.848,7.907349999999999,8.901,12.836,0.0,0.0617599999999999,-0.01047,0.0105,-0.06174,-1.939679971
YRHRIQCWCFGUEQ-UHFFFAOYNA-N,1-propanol,212.266,221.762,-24806.878,-1613.787178571427,236.332,3.1881,9.048,11.852,-0.5933,-0.7952799999999999,-0.5933,0.59225,-0.60579,-1.942386988
GPSDUZXPYCFOSQ-BGGKNDAXNA-N,"1,4-dioxane",136.15,169.911,-21733.89,-540.3050857142844,164.96,2.9274,8.906,11.521,-1.04535,-0.48474,-0.56294,0.63608,-1.04535,0.296289303
UVEWQKMPXAHFST-UHFFFAOYNA-N,thf,181.237,229.998,-24919.348,-1556.4172500000022,231.48,2.89468,8.901,11.73,0.0,-1.43278,-0.36477,0.17204,-0.36477,0.611829479
LDZYRENCLPUXAX-UHFFFAOYSA-N,dichloromethane,132.165,167.27,-20985.552000000003,-1247.5106666666688,231.48,2.89468,10.527,9.347,0.0,-0.81131,-0.50264,0.30473,-0.7431399999999999,-1.022276395
OTLNPYWUJOZPPA-BGGKNDAXNA-N,4-methyl-2-pentanol,167.121,179.815,-23275.958,-1400.3997297297246,176.952,4.48316,8.322000000000001,13.616,-2.04659,0.0670799999999999,-0.57803,0.84171,-1.2048800000000002,-1.15490196
WNLRTRBMVRJNCN-AUDIXQRPNA-N,1-butanol,146.143,181.77,-23638.444000000003,-631.9665263157913,176.164,5.1770000000000005,10.526,14.436,-2.22039,0.07939,-0.62613,0.66902,-2.22039,-0.492971471
SQNZJJAZBFDUTD-UHFFFAOYNA-N,2-pentanol,134.221,191.291,-22056.226,412.4245806451654,195.397,0.00481108,10.707,11.756,0.0,-2.34725,-0.49068,0.17083,0.0,-0.205586584
QELSKZZBTMNZEB-UHFFFAOYNA-N,acetonitrile,180.203,220.174,-25956.878,-1078.5905454545464,220.261,1.52754,12.028,11.108,-1.52871,-0.6495199999999999,-0.61778,0.69088,-1.52871,0.054613055
NSPMIYGKQJPBQR-UHFFFAOYSA-N,2-propanol,69.0658,95.9042,-16452.503999999997,-358.28679999999804,220.261,1.52754,10.555,13.717,0.0,-0.32782,-0.24791,0.32128,-0.4301299999999999,0.386320574
CWRYPZZKDGJXCA-UHFFFAOYNA-N,2-ethyl-1-hexanol,154.211,187.048,-20930.514,431.4148000000023,220.261,1.52754,9.648,11.406,0.0,-1.63356,-0.2981,0.16905,0.0,-0.553125274
BSYNRYMUTXBXSQ-WXRBYKJCNA-N,2-methyl-1-butanol,180.16,198.117,-25165.232000000004,-990.9501500000116,220.261,1.52754,9.058,13.15,-2.0710800000000003,0.32928,-0.59507,0.71642,-2.0710800000000003,-0.504455662
WURBFLDFSFBTLW-UHFFFAOYNA-N,1-heptanol,210.232,239.85,-25843.418000000005,-832.772204081637,220.261,1.52754,8.663,12.849,-1.00617,-0.67426,-0.5031,0.44742,-1.00617,-0.940000001
GSDSWSVVBLHKDQ-LQFNOIFHNA-N,"1,2-dichloroethane",361.372,346.682,-34564.918,-799.1269999999931,220.261,1.52754,9.642,8.871,-2.09235,-0.4377799999999999,-0.61427,0.73636,-3.03456,-1.336928315
XMTQQYYKAHVGBJ-XWKXFZRBNA-N,toluene,233.097,243.578,-26910.032,-1925.340479999999,220.261,1.52754,8.767,9.526,-0.60835,-0.24289,-0.60835,0.67582,-1.5847,-2.079999985
BLFLLBZGZJTVJG-UHFFFAOYNA-N,peg400,165.191,206.35,-25192.612,-1054.0185714285726,220.261,1.52754,9.2,10.262,-1.04657,-0.4839400000000001,-0.62208,0.68207,-1.54613,0.046
NIHNNTQXNPWCJQ-UHFFFAOYNA-N,aniline,166.222,200.685,-21511.536,-109.40499999999884,220.261,1.52754,8.055,9.353,0.0,-1.64595,-0.32511,0.18253,0.0,-0.147520006
VPHHJAOJUJHJKD-KZFATGLANA-N,1-heptanol,191.013,187.61,-23506.988,-1859.3149696969667,189.143,3.49521,9.032,12.803,-1.06546,0.2361299999999999,-0.58965,0.66392,-1.17545,-0.750327175
WPYMKLBDIGXBTP-FZOZFQFYNA-N,dmso,122.123,151.267,-20801.892,-1070.8926500000016,189.143,3.49521,7.556,11.116,-1.09157,-0.1098799999999999,-0.60769,0.66324,-1.09157,0.768860001
WBYWAXJHAXSJNI-KZFATGLANA-N,chlorobenzene,148.161,181.687,-22746.896,-487.3603750000002,189.143,3.49521,8.85,9.642,-1.07862,-0.43676,-0.58217,0.67658,-1.07862,-0.449417716
XZAXQWXHBDKYJI-CMLSCEPHNA-N,"1,4-dioxane",346.276,325.551,-32453.74,83.01825000000463,374.431,5.19812,8.847000000000001,10.998,-3.55153,-1.10383,-0.88907,1.59625,-1.95528,-1.65323299
WJUFSDZVCOTFON-UHFFFAOYNA-N,dmso,166.176,199.927,-25336.04,-2337.491833333333,374.431,5.19812,7.445,9.953,-1.32016,-0.327,-0.57021,0.44686,-1.32016,0.725094521
ROORDVPLFPIABK-UHFFFAOYNA-N,1-propanol,214.22,245.042,-26789.66,-1589.7622857142887,374.431,5.19812,9.275,12.823,-1.33249,-0.4197499999999999,-0.55966,0.76529,-1.33249,-0.696937186
JCLYNMPVVXQIJI-UHFFFAOYNA-N,methanol,258.233,270.693,-28878.918,-840.400666666661,374.431,5.19812,8.548,12.14,-1.93319,-0.7005100000000001,-0.58042,0.84938,-1.25763,-0.522878745
